CSA,CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022
170,16620,,,"Charleston, WV",Metropolitan Statistical Area,258852,258046,255207,251914,-806,-2839,-3293
170,16620,,54005,"Boone County, WV",County or equivalent,21807,21739,21367,20968,-68,-372,-399
170,16620,,54015,"Clay County, WV",County or equivalent,8050,8007,7895,7814,-43,-112,-81
170,16620,,54035,"Jackson County, WV",County or equivalent,27792,27720,27761,27716,-72,41,-45
170,16620,,54039,"Kanawha County, WV",County or equivalent,180744,180217,177993,175515,-527,-2224,-2478
170,16620,,54043,"Lincoln County, WV",County or equivalent,20459,20363,20191,19901,-96,-172,-290
170,26580,,,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,359849,359357,356663,354304,-492,-2694,-2359
170,26580,,21019,"Boyd County, KY",County or equivalent,48253,48197,47767,48110,-56,-430,343
170,26580,,21043,"Carter County, KY",County or equivalent,26626,26607,26432,26395,-19,-175,-37
170,26580,,21089,"Greenup County, KY",County or equivalent,35970,35887,35682,35403,-83,-205,-279
170,26580,,39087,"Lawrence County, OH",County or equivalent,58236,58136,57400,56653,-100,-736,-747
170,26580,,54011,"Cabell County, WV",County or equivalent,94346,94234,93494,92730,-112,-740,-764
170,26580,,54079,"Putnam County, WV",County or equivalent,57435,57432,57355,57015,-3,-77,-340
170,26580,,54099,"Wayne County, WV",County or equivalent,38983,38864,38533,37998,-119,-331,-535
170,34350,,,"Mount Gay-Shamrock, WV",Micropolitan Statistical Area,32572,32510,31917,31316,-62,-593,-601
170,34350,,54045,"Logan County, WV",County or equivalent,32572,32510,31917,31316,-62,-593,-601
170,38580,,,"Point Pleasant, WV-OH",Micropolitan Statistical Area,54675,54639,54510,54068,-36,-129,-442
170,38580,,39053,"Gallia County, OH",County or equivalent,29227,29241,29220,29068,14,-21,-152
170,38580,,54053,"Mason County, WV",County or equivalent,25448,25398,25290,25000,-50,-108,-290
